"Lengte en gewicht van personen, ondergewicht en overgewicht; vanaf 1981"
"";"";"";"Onderwerpen";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2010";"2.3";"56.0";"41.7";"31.9";"9.8"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2011";"2.2";"56.1";"41.7";"31.9";"9.8"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2012";"2.3";"56.2";"41.5";"31.3";"10.2"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2013";"2.5";"55.9";"41.6";"31.5";"10.1"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2014";"2.0";"54.9";"43.1";"31.5";"11.7"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2015";"2.3";"54.7";"43.0";"31.4";"11.6"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2016";"2.4";"54.3";"43.3";"31.1";"12.3"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1981";"5.3";"84.6";"10.1";"8.0";"2.1"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1982";"6.5";"85.2";"8.4";"6.8";"1.5"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1983";"6.3";"85.0";"8.7";"6.6";"2.1"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1984";"6.1";"86.0";"7.9";"6.3";"1.6"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1985";"7.0";"84.5";"8.6";"6.7";"1.9"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1986";"7.7";"85.1";"7.2";"5.9";"1.3"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1987";"7.5";"84.3";"8.2";"7.0";"1.2"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1988";"7.4";"85.0";"7.6";"6.3";"1.3"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1989";"7.3";"83.5";"9.2";"7.7";"1.5"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1990";"7.3";"81.7";"11.0";"7.8";"3.2"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1991";"7.1";"81.8";"11.1";"9.3";"1.8"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1992";"7.5";"81.1";"11.4";"9.5";"1.9"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1993";"6.9";"81.8";"11.3";"8.0";"3.3"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1994";"6.1";"82.9";"11.0";"7.9";"3.1"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1995";"6.9";"84.0";"9.1";"6.8";"2.3"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1996";"8.9";"80.1";"11.0";"8.4";"2.6"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1997";"7.1";"81.1";"11.8";"9.2";"2.6"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1998";"6.6";"82.2";"11.2";"8.9";"2.4"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"1999";"6.8";"81.7";"11.4";"9.1";"2.3"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2000";"6.8";"81.8";"11.4";"9.3";"2.1"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2001";"6.1";"82.1";"11.8";"9.2";"2.5"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2002";"6.9";"81.2";"11.8";"9.1";"2.7"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2003";"5.4";"84.2";"10.4";"7.8";"2.6"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2004";"5.6";"81.8";"12.5";"9.8";"2.8"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2005";"5.5";"81.7";"12.9";"10.7";"2.2"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2006";"6.1";"82.7";"11.2";"9.2";"2.0"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2007";"5.3";"83.3";"11.4";"9.0";"2.4"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2008";"4.7";"81.9";"13.4";"10.5";"2.9"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2009";"5.9";"80.9";"13.1";"11.0";"2.2"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2010";"5.0";"81.5";"13.6";"10.5";"3.1"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2011";"5.5";"81.7";"12.8";"10.1";"2.7"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2012";"4.9";"81.9";"13.2";"10.8";"2.4"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2013";"5.9";"82.3";"11.8";"9.5";"2.3"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2014";"4.6";"82.9";"12.5";"9.2";"3.3"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2015";"5.2";"82.7";"12.1";"9.3";"2.8"
"Totaal mannen en vrouwen";"4 tot 20 jaar";"Percentages/gemiddelden";"2016";"5.7";"80.9";"13.4";"10.6";"2.7"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1981";"6.5";"78.1";"15.3";"11.2";"4.1"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1982";"9.6";"78.4";"12.1";"9.0";"3.0"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1983";"8.6";"79.2";"12.3";"8.1";"4.2"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1984";"10.1";"79.0";"10.9";"8.4";"2.5"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1985";"9.0";"80.5";"10.5";"7.0";"3.5"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1986";"11.8";"79.3";"8.9";"6.7";"2.3"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1987";"11.1";"78.7";"10.2";"7.8";"2.4"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1988";"12.0";"77.5";"10.5";"7.6";"2.9"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1989";"10.7";"77.6";"11.7";"8.9";"2.8"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1990";"10.0";"75.0";"15.0";"9.5";"5.4"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1991";"12.2";"72.8";"15.0";"11.9";"3.2"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1992";"11.2";"74.6";"14.2";"10.6";"3.7"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1993";"8.9";"77.5";"13.6";"9.2";"4.3"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1994";"9.6";"75.3";"15.1";"9.8";"5.3"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1995";"9.0";"80.6";"10.5";"7.2";"3.3"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1996";"12.1";"73.0";"14.9";"10.4";"4.5"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1997";"9.6";"76.2";"14.2";"9.6";"4.6"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1998";"10.3";"75.5";"14.2";"10.1";"4.1"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"1999";"10.7";"74.8";"14.5";"11.0";"3.5"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2000";"9.6";"76.8";"13.6";"10.5";"3.1"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2001";"9.2";"76.3";"14.5";"10.4";"4.0"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2002";"10.3";"75.9";"13.8";"9.0";"4.7"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2003";"8.1";"78.4";"13.5";"9.4";"4.1"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2004";"8.9";"75.3";"15.8";"11.9";"3.9"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2005";"9.1";"75.6";"15.3";"12.3";"3.0"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2006";"9.4";"78.1";"12.5";"9.8";"2.8"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2007";"7.8";"81.0";"11.2";"8.0";"3.2"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2008";"7.1";"79.1";"13.9";"10.8";"3.1"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2009";"8.8";"76.0";"15.2";"12.1";"3.1"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2010";"7.1";"79.6";"13.3";"10.0";"3.4"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2011";"7.5";"79.8";"12.7";"9.7";"2.9"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2012";"6.9";"80.7";"12.4";"9.4";"3.0"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2013";"7.7";"80.1";"12.2";"9.4";"2.8"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2014";"6.6";"81.8";"11.6";"8.4";"3.2"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2015";"8.3";"79.5";"12.2";"8.4";"3.9"
"Totaal mannen en vrouwen";"4 tot 12 jaar";"Percentages/gemiddelden";"2016";"7.4";"80.7";"11.9";"9.3";"2.6"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1981";"4.5";"88.2";"7.4";"6.7";"0.6"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1982";"5.6";"89.8";"4.6";"4.5";"0.1"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1983";"4.9";"87.8";"7.4";"6.3";"1.0"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1984";"3.0";"91.2";"5.8";"5.2";"0.6"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1985";"5.9";"85.6";"8.5";"7.8";"0.6"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1986";"6.3";"86.6";"7.1";"6.4";"0.7"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1987";"6.6";"86.6";"6.9";"6.7";"0.2"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1988";"5.5";"86.4";"8.0";"8.0";"0.0"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1989";"5.3";"87.2";"7.5";"7.1";"0.4"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1990";"6.7";"85.9";"7.3";"5.6";"1.8"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1991";"2.8";"90.6";"6.6";"6.6";"0.0"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1992";"4.9";"84.4";"10.7";"10.1";"0.6"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1993";"6.2";"84.0";"9.7";"7.0";"2.8"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1994";"3.2";"89.9";"6.9";"6.5";"0.4"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1995";"5.9";"86.5";"7.6";"6.6";"1.0"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1996";"5.7";"88.3";"6.0";"5.2";"0.8"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1997";"3.4";"87.6";"9.0";"8.2";"0.7"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1998";"2.6";"88.6";"8.8";"8.0";"0.8"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"1999";"3.1";"89.5";"7.4";"7.2";"0.2"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2000";"4.9";"87.2";"7.9";"6.8";"1.1"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2001";"3.5";"86.7";"9.8";"8.8";"1.0"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2002";"3.3";"87.2";"9.5";"8.7";"0.8"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2003";"3.2";"89.3";"7.4";"5.7";"1.7"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2004";"3.6";"88.4";"8.0";"6.1";"1.9"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2005";"2.8";"86.8";"10.4";"8.8";"1.6"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2006";"3.4";"86.3";"10.2";"8.8";"1.4"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2007";"2.5";"85.7";"11.8";"10.8";"1.0"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2008";"3.2";"87.6";"9.2";"6.3";"2.9"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2009";"4.6";"84.6";"10.8";"9.6";"1.3"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2010";"3.5";"83.4";"13.2";"11.1";"2.1"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2011";"3.2";"86.1";"10.7";"9.3";"1.4"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2012";"3.9";"83.7";"12.4";"10.2";"2.1"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2013";"3.3";"84.8";"12.0";"10.2";"1.7"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2014";"2.5";"86.2";"11.3";"8.3";"3.0"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2015";"3.0";"84.7";"12.3";"9.9";"2.5"
"Totaal mannen en vrouwen";"12 tot 16 jaar";"Percentages/gemiddelden";"2016";"4.6";"81.3";"14.1";"11.1";"3.0"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1981";"4.2";"91.1";"4.8";"4.4";"0.4"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1982";"2.7";"90.5";"6.8";"6.0";"0.8"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1983";"4.6";"90.0";"5.4";"4.9";"0.5"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1984";"3.7";"90.6";"5.7";"4.5";"1.2"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1985";"5.0";"89.2";"5.9";"5.0";"0.8"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1986";"3.3";"91.7";"4.9";"4.5";"0.4"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1987";"3.5";"89.8";"6.7";"6.2";"0.5"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1988";"2.9";"93.5";"3.5";"3.2";"0.4"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1989";"4.0";"88.9";"7.0";"6.7";"0.4"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1990";"3.7";"88.5";"7.7";"6.8";"1.0"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1991";"2.3";"89.3";"8.4";"7.4";"1.0"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1992";"3.4";"89.1";"7.5";"7.2";"0.2"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1993";"3.9";"87.4";"8.7";"6.8";"1.9"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1994";"2.5";"89.9";"7.6";"5.6";"1.9"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1995";"3.7";"88.2";"8.1";"6.4";"1.7"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1996";"5.7";"86.4";"7.9";"7.5";"0.4"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1997";"5.7";"84.8";"9.5";"9.1";"0.4"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1998";"3.4";"89.0";"7.7";"7.1";"0.6"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"1999";"2.7";"88.1";"9.2";"7.3";"1.9"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2000";"2.9";"86.7";"10.4";"9.5";"0.9"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2001";"2.4";"89.3";"8.3";"7.1";"1.1"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2002";"4.4";"85.0";"10.7";"9.7";"0.9"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2003";"2.4";"90.1";"7.6";"7.2";"0.4"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2004";"1.4";"87.5";"11.1";"9.6";"1.6"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2005";"1.6";"87.4";"11.1";"9.8";"1.3"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2006";"3.0";"87.2";"9.8";"8.6";"1.2"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2007";"3.4";"85.1";"11.5";"9.1";"2.4"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2008";"2.0";"81.5";"16.5";"14.1";"2.4"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2009";"2.2";"86.0";"11.8";"10.4";"1.4"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2010";"2.8";"82.9";"14.4";"10.9";"3.5"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2011";"4.4";"80.6";"15.0";"11.6";"3.4"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2012";"2.4";"82.1";"15.4";"13.9";"1.5"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2013";"5.4";"83.6";"10.9";"8.8";"2.1"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2014";"2.9";"81.7";"15.5";"11.6";"3.9"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2015";"2.1";"86.3";"11.5";"10.3";"1.3"
"Totaal mannen en vrouwen";"16 tot 20 jaar";"Percentages/gemiddelden";"2016";"4.1";"80.7";"15.2";"12.4";"2.7"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1981";"2.7";"63.9";"33.4";"28.2";"5.3"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1982";"2.8";"64.3";"32.9";"27.9";"5.0"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1983";"2.9";"63.7";"33.4";"28.4";"5.0"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1984";"3.2";"63.2";"33.6";"28.2";"5.4"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1985";"3.1";"63.9";"33.1";"28.0";"5.1"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1986";"3.1";"62.6";"34.3";"29.3";"5.1"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1987";"2.3";"62.7";"35.0";"29.6";"5.5"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1988";"2.5";"63.5";"34.0";"29.1";"4.9"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1989";"2.2";"62.2";"35.5";"29.0";"6.5"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1990";"2.6";"62.3";"35.0";"28.8";"6.2"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1991";"2.3";"62.5";"35.2";"29.3";"5.9"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1992";"2.5";"60.9";"36.6";"30.1";"6.5"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1993";"2.7";"60.8";"36.5";"30.2";"6.3"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1994";"2.3";"59.3";"38.4";"31.3";"7.1"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1995";"2.3";"59.7";"38.0";"30.9";"7.1"
"Totaal mannen en vrouwen";"20 jaar of ouder";"Percentages/gemiddelden";"1996";"2.6";"58.4";"39.0";"31.9";"7.2"
